,year,country_n,country_c,GINI,GDPpc
1,1999,Argentina,ARG,49.8,8381.253998
2,2000,Argentina,ARG,51.1,8224.112827
3,2001,Argentina,ARG,53.3,7776.137872
4,2002,Argentina,ARG,53.8,6854.294081
5,2003,Argentina,ARG,51.2,7380.467087
6,2004,Argentina,ARG,48.6,7962.412309
7,2005,Argentina,ARG,48,8577.864994
8,2006,Argentina,ARG,46.7,9174.502458
9,2007,Argentina,ARG,46.6,9901.511881
10,2008,Argentina,ARG,45.3,10201.47594
11,2009,Argentina,ARG,44.1,9502.243585
12,2010,Argentina,ARG,44.5,10385.96443
13,2011,Argentina,ARG,42.7,10883.31536
14,2012,Argentina,ARG,41.4,10649.83729
15,2013,Argentina,ARG,41,10784.6307
16,2014,Argentina,ARG,41.7,10398.69401
17,2015,Argentina,ARG,41.7,10568.15781
18,2016,Argentina,ARG,42,10239.48135
19,2017,Argentina,ARG,41.2,10404.26351
20,2018,Argentina,ARG,41.4,10043.50855
22,1999,Bolivia,BOL,58.1,1592.737415
23,2000,Bolivia,BOL,61.6,1601.416658
24,2001,Bolivia,BOL,57.4,1597.642011
25,2002,Bolivia,BOL,59.3,1606.904677
26,2003,Bolivia,BOL,59.3,1620.263664
27,2004,Bolivia,BOL,55,1657.505128
28,2005,Bolivia,BOL,58.5,1700.182791
29,2006,Bolivia,BOL,56.7,1750.803048
30,2007,Bolivia,BOL,54.5,1799.498546
31,2008,Bolivia,BOL,50.8,1878.110313
32,2009,Bolivia,BOL,49.2,1909.084588
33,2010,Bolivia,BOL,49.2,1955.461557
34,2011,Bolivia,BOL,46.1,2024.117324
35,2012,Bolivia,BOL,46.6,2094.024217
36,2013,Bolivia,BOL,47.6,2201.396848
37,2014,Bolivia,BOL,47.8,2286.013198
38,2015,Bolivia,BOL,46.7,2361.056581
39,2016,Bolivia,BOL,44.6,2425.561645
40,2017,Bolivia,BOL,44,2490.956314
41,2018,Bolivia,BOL,42.2,2559.511263
43,1999,Brazil,BRA,59,8554.072776
44,2000,Brazil,BRA,59,8803.152529
45,2001,Brazil,BRA,58.4,8804.329488
