"","year","country_n","country_c","female","male","rural","urban"
"1",2000,"Brazil","BRA",50.4654350490161,49.5345649509839,18.808,81.192
"2",2000,"Argentina","ARG",51.4663990438395,48.5336009561605,10.858,89.142
"3",2000,"Costa Rica","CRI",49.8116656979701,50.1883343020299,40.948,59.052
"4",2000,"Colombia","COL",50.9782383103291,49.0217616896709,26.043,73.957
"5",2000,"Chile","CHL",50.8017676561935,49.1982323438065,13.927,86.073
"6",2000,"Bolivia","BOL",49.69488980515,50.30511019485,38.213,61.787
"7",2000,"Dominican Republic","DOM",49.8938948926123,50.1061051073877,38.247,61.753
"8",2000,"Ecuador","ECU",49.806030585777,50.193969414223,39.701,60.299
"9",2000,"Mexico","MEX",50.9018098056675,49.0981901943325,25.278,74.722
"10",2000,"Peru","PER",50.1481597995823,49.8518402004177,26.958,73.042
"11",2000,"Paraguay","PRY",49.2597500526939,50.7402499473062,44.669,55.331
"12",2000,"Uruguay","URY",51.6028091407324,48.3971908592676,7.97199999999999,92.028
"13",2000,"El Salvador","SLV",51.8304055924578,48.1695944075422,41.088,58.912
"14",2000,"Guatemala","GTM",50.932429722943,49.067570277057,54.668,45.332
"15",2000,"United States","USA",50.743268682874,49.256731317126,20.943,79.057
"16",2005,"Brazil","BRA",50.5702887727671,49.429711227233,17.166,82.834
"17",2005,"Argentina","ARG",51.4118172241305,48.5881827758695,9.96899999999999,90.031
"18",2005,"Costa Rica","CRI",49.8638666537238,50.1361333462762,34.328,65.672
"19",2005,"Colombia","COL",50.9913153410201,49.0086846589799,23.976,76.024
"20",2005,"Chile","CHL",50.7939428944949,49.2060571055051,13.217,86.783
"21",2005,"Bolivia","BOL",49.6601876390295,50.3398123609705,35.83,64.17
"22",2005,"Dominican Republic","DOM",49.702811681141,50.297188318859,32.63,67.37
"23",2005,"Ecuador","ECU",49.8498572130053,50.1501427869947,38.289,61.711
"24",2005,"Mexico","MEX",51.0997125716447,48.9002874283553,23.692,76.308
"25",2005,"Peru","PER",50.144523066345,49.855476933655,24.966,75.034
"26",2005,"Paraguay","PRY",49.2259999193008,50.7740000806992,42.367,57.633
"27",2005,"Uruguay","URY",51.7609584445055,48.2390415554945,6.681,93.319
"28",2005,"El Salvador","SLV",52.2721114108039,47.7278885891961,38.352,61.648
"29",2005,"Guatemala","GTM",50.9582829236468,49.0417170763532,53.087,46.913
"30",2005,"United States","USA",50.6538020129792,49.3461979870208,20.072,79.928
"31",2010,"Brazil","BRA",50.6747355576454,49.3252644423546,15.665,84.335
"32",2010,"Argentina","ARG",51.3427421836562,48.6572578163438,9.151,90.849
"33",2010,"Costa Rica","CRI",49.9106583233039,50.0893416766961,28.264,71.736
"34",2010,"Colombia","COL",50.998815882263,49.001184117737,22.036,77.964
"35",2010,"Chile","CHL",50.786896738825,49.213103261175,12.926,87.074
"36",2010,"Bolivia","BOL",49.6834234669775,50.3165765330225,33.57,66.43
"37",2010,"Dominican Republic","DOM",49.810569588794,50.189430411206,26.247,73.753
"38",2010,"Ecuador","ECU",49.9014330315525,50.0985669684475,37.31,62.69
"39",2010,"Mexico","MEX",51.0699139449979,48.9300860550021,22.185,77.815
"40",2010,"Peru","PER",50.1375962529558,49.8624037470442,23.57,76.43
"41",2010,"Paraguay","PRY",49.1353976789756,50.8646023210244,40.739,59.261
