Year,Country,Age Group,F,M
2000,ARG,0-4,9.078075224,-9.973212776
2000,ARG,5-9,9.237075473,-10.09072227
2000,ARG,10-14,8.935838193,-9.68265229
2000,ARG,15-19,8.538785505,-9.130014571
2000,ARG,20-24,8.579146863,-8.969201818
2000,ARG,25-29,7.417125495,-7.482288775
2000,ARG,30-34,6.607500573,-6.587606124
2000,ARG,35-39,6.285895537,-6.231205006
2000,ARG,40-44,5.813890557,-5.817798262
2000,ARG,45-49,5.434301969,-5.474099211
2000,ARG,50-54,4.914737092,-4.938706798
2000,ARG,55-59,4.210007435,-4.105338305
2000,ARG,60-64,3.672704429,-3.42826168
2000,ARG,65-69,3.373106056,-2.945354008
2000,ARG,70-74,3.045287931,-2.314330061
2000,ARG,75-79,2.324332577,-1.543030139
2000,ARG,80+,2.532189092,-1.28617791
2005,ARG,0-4,8.736644972,-9.585331077
2005,ARG,5-9,8.596073758,-9.417418778
2005,ARG,10-14,8.755224098,-9.538615569
2005,ARG,15-19,8.387777506,-9.052235589
2005,ARG,20-24,7.993915049,-8.487601314
2005,ARG,25-29,8.033853917,-8.33363805
2005,ARG,30-34,6.996123489,-7.011797677
2005,ARG,35-39,6.224382124,-6.165859632
2005,ARG,40-44,5.910692469,-5.812773368
2005,ARG,45-49,5.445794239,-5.390412896
2005,ARG,50-54,5.06084376,-5.010402244
2005,ARG,55-59,4.53641231,-4.42613031
2005,ARG,60-64,3.833656263,-3.566465483
2005,ARG,65-69,3.275352292,-2.849767679
2005,ARG,70-74,2.90132924,-2.291060156
2005,ARG,75-79,2.450744188,-1.628946681
2005,ARG,80+,2.861180325,-1.431543498
2010,ARG,0-4,8.428899367,-9.227649514
2010,ARG,5-9,8.297728247,-9.075443981
2010,ARG,10-14,8.175882269,-8.928866942
2010,ARG,15-19,8.32378435,-9.030059223
2010,ARG,20-24,7.929742344,-8.447027655
2010,ARG,25-29,7.528770777,-7.905305212
2010,ARG,30-34,7.556241368,-7.769924856
2010,ARG,35-39,6.576677621,-6.592941436
2010,ARG,40-44,5.853945802,-5.781729718
2010,ARG,45-49,5.549711864,-5.41645051
2010,ARG,50-54,5.094575416,-4.964794021
2010,ARG,55-59,4.693418107,-4.522012462
2010,ARG,60-64,4.152512264,-3.876544814
2010,ARG,65-69,3.440353384,-2.993162737
2010,ARG,70-74,2.842101253,-2.244452428
2010,ARG,75-79,2.367395342,-1.640389389
2010,ARG,80+,3.188260228,-1.583245099
2015,ARG,0-4,8.252970421,-9.013390252
2015,ARG,5-9,8.002439163,-8.733564723
2015,ARG,10-14,7.881852913,-8.594249886
2015,ARG,15-19,7.768479289,-8.446592644
2015,ARG,20-24,7.909145892,-8.515266221
2015,ARG,25-29,7.532178595,-7.957482795
2015,ARG,30-34,7.143149503,-7.444398654
2015,ARG,35-39,7.156782409,-7.307003857
2015,ARG,40-44,6.21473091,-6.183189886
2015,ARG,45-49,5.509297045,-5.391318848
2015,ARG,50-54,5.191629042,-4.995900263
2015,ARG,55-59,4.725008745,-4.490019844
2015,ARG,60-64,4.297593808,-3.972857405
2015,ARG,65-69,3.730893217,-3.268159978
2015,ARG,70-74,2.995879883,-2.374707885
2015,ARG,75-79,2.337769544,-1.626068707
2015,ARG,80+,3.350199622,-1.685828154
2018,ARG,0-4,8.090225745,-8.824435355
2018,ARG,5-9,7.911501879,-8.623401435
2018,ARG,10-14,7.718936956,-8.406039607
2018,ARG,15-19,7.597222761,-8.251211083
2018,ARG,20-24,7.610245498,-8.209720996
2018,ARG,25-29,7.585079938,-8.069440584
2018,ARG,30-34,7.122988356,-7.450635002
2018,ARG,35-39,6.952632478,-7.161868617
2018,ARG,40-44,6.636712319,-6.679238356
2018,ARG,45-49,5.671181963,-5.567881874
2018,ARG,50-54,5.154636862,-4.962145092
2018,ARG,55-59,4.798504603,-4.519058697
2018,ARG,60-64,4.317472857,-3.958815391
2018,ARG,65-69,3.831284811,-3.340518322
2018,ARG,70-74,3.157688142,-2.523993405
2018,ARG,75-79,2.396152802,-1.676777381
2018,ARG,80+,3.447532031,-1.774818804
2000,BOL,0-4,13.50046015,-13.90507743
2000,BOL,5-9,12.38752704,-12.72736504
2000,BOL,10-14,11.34185899,-11.61078865
2000,BOL,15-19,10.13761369,-10.33725164
2000,BOL,20-24,9.025875772,-9.091177429
2000,BOL,25-29,7.751329644,-7.785691009
2000,BOL,30-34,6.603640536,-6.604625462
2000,BOL,35-39,5.636663519,-5.606779037
2000,BOL,40-44,4.835936846,-4.770190941
2000,BOL,45-49,4.187189999,-4.087304773
2000,BOL,50-54,3.582880159,-3.503407465
2000,BOL,55-59,2.968769795,-2.890654148
2000,BOL,60-64,2.373280426,-2.252090998
2000,BOL,65-69,2.0064301,-1.835544368
2000,BOL,70-74,1.619572363,-1.418549076
2000,BOL,75-79,1.078105391,-0.878455283
2000,BOL,80+,0.962865577,-0.695047251
2005,BOL,0-4,12.7240621,-13.09951559
2005,BOL,5-9,11.97418937,-12.30048781
2005,BOL,10-14,11.1198841,-11.42821671
2005,BOL,15-19,10.09767539,-10.34652222
2005,BOL,20-24,8.95321431,-9.135253338
2005,BOL,25-29,7.885310914,-7.946921403
2005,BOL,30-34,6.787569649,-6.802118031
2005,BOL,35-39,5.796114883,-5.771526037
2005,BOL,40-44,4.945037688,-4.888023147
2005,BOL,45-49,4.23394546,-4.137644935
2005,BOL,50-54,3.660089976,-3.527040103
2005,BOL,55-59,3.142071437,-3.011883965
2005,BOL,60-64,2.603004987,-2.457868417
2005,BOL,65-69,2.047034775,-1.86914621
2005,BOL,70-74,1.655390948,-1.445996071
2005,BOL,75-79,1.222938166,-1.004642688
2005,BOL,80+,1.152465834,-0.827193324
2010,BOL,0-4,11.6821536,-12.05226943
2010,BOL,5-9,11.45084604,-11.78370328
2010,BOL,10-14,10.85058409,-11.15300102
2010,BOL,15-19,10.0462555,-10.32590272
2010,BOL,20-24,9.045131214,-9.22695511
2010,BOL,25-29,8.007351847,-8.10619231
2010,BOL,30-34,7.00268223,-7.037346893
2010,BOL,35-39,6.038152929,-6.021743989
2010,BOL,40-44,5.154184678,-5.097436567
2010,BOL,45-49,4.388714482,-4.29747375
2010,BOL,50-54,3.740360265,-3.616970359
2010,BOL,55-59,3.225186165,-3.068129451
2010,BOL,60-64,2.751955088,-2.588571056
2010,BOL,65-69,2.240186104,-2.065164721
2010,BOL,70-74,1.701035977,-1.500165147
2010,BOL,75-79,1.270408916,-1.047069783
2010,BOL,80+,1.404810869,-1.011904409
2015,BOL,0-4,10.81679333,-11.19901659
2015,BOL,5-9,10.61402944,-10.9613826
2015,BOL,10-14,10.44298787,-10.77011131
2015,BOL,15-19,9.876092432,-10.15870209
2015,BOL,20-24,9.08371881,-9.294631738
2015,BOL,25-29,8.155373891,-8.260686849
2015,BOL,30-34,7.223070617,-7.258278844
2015,BOL,35-39,6.318975238,-6.300677741
2015,BOL,40-44,5.442181401,-5.378512162
2015,BOL,45-49,4.630663405,-4.532269389
2015,BOL,50-54,3.922210581,-3.801009034
2015,BOL,55-59,3.331232076,-3.186524837
2015,BOL,60-64,2.852752203,-2.67033029
2015,BOL,65-69,2.384390177,-2.202365394
2015,BOL,70-74,1.881161344,-1.685310584
2015,BOL,75-79,1.342251837,-1.123192624
2015,BOL,80+,1.682115344,-1.216997923
2018,BOL,0-4,10.30368301,-10.68687588
2018,BOL,5-9,10.18446813,-10.54443121
2018,BOL,10-14,10.04195168,-10.38097328
2018,BOL,15-19,9.723479157,-10.01767886
2018,BOL,20-24,9.055589202,-9.271181782
2018,BOL,25-29,8.242670399,-8.369295307
2018,BOL,30-34,7.356290602,-7.395633977
2018,BOL,35-39,6.482490469,-6.46554272
2018,BOL,40-44,5.629320279,-5.564533259
2018,BOL,45-49,4.809483545,-4.707935805
2018,BOL,50-54,4.068380297,-3.944722838
2018,BOL,55-59,3.435026917,-3.290663077
2018,BOL,60-64,2.906981785,-2.731934776
2018,BOL,65-69,2.446983614,-2.250436358
2018,BOL,70-74,1.974671173,-1.771621605
2018,BOL,75-79,1.457754886,-1.237590028
2018,BOL,80+,1.880774858,-1.368949237
2000,BRA,0-4,9.681268986,-10.26080543
2000,BRA,5-9,9.624107961,-10.16386916
2000,BRA,10-14,9.834245951,-10.32703887
2000,BRA,15-19,10.06036762,-10.47496863
2000,BRA,20-24,9.221417546,-9.47900914
2000,BRA,25-29,8.287897436,-8.388072233
2000,BRA,30-34,7.912499112,-7.888217956
2000,BRA,35-39,7.408519375,-7.302649197
2000,BRA,40-44,6.350853921,-6.202868613
2000,BRA,45-49,5.360757762,-5.187148582
2000,BRA,50-54,4.264975889,-4.073168681
2000,BRA,55-59,3.30150522,-3.082952904
2000,BRA,60-64,2.822332558,-2.551740938
2000,BRA,65-69,2.124230256,-1.830233419
2000,BRA,70-74,1.674343819,-1.353232719
2000,BRA,75-79,1.073076631,-0.800322156
2000,BRA,80+,0.997599953,-0.633701369
2005,BRA,0-4,8.502750215,-9.056327763
2005,BRA,5-9,9.036363935,-9.601620798
2005,BRA,10-14,9.003663808,-9.541613467
2005,BRA,15-19,9.194817029,-9.669719249
2005,BRA,20-24,9.398599199,-9.743367575
2005,BRA,25-29,8.608094154,-8.78780126
2005,BRA,30-34,7.726490054,-7.762598485
2005,BRA,35-39,7.359539785,-7.280715965
2005,BRA,40-44,6.867867093,-6.708631147
2005,BRA,45-49,5.858641235,-5.653772525
2005,BRA,50-54,4.908256271,-4.671972024
2005,BRA,55-59,3.862523646,-3.602701773
2005,BRA,60-64,2.938202953,-2.659199315
2005,BRA,65-69,2.449578335,-2.118251833
2005,BRA,70-74,1.765440337,-1.426183874
2005,BRA,75-79,1.296345065,-0.956046739
2005,BRA,80+,1.222826884,-0.759476208
2010,BRA,0-4,7.400830601,-7.928729875
2010,BRA,5-9,8.047970178,-8.596096665
2010,BRA,10-14,8.564022389,-9.131245791
2010,BRA,15-19,8.527048227,-9.049535569
2010,BRA,20-24,8.700752172,-9.108829346
2010,BRA,25-29,8.888323191,-9.154156351
2010,BRA,30-34,8.131505365,-8.252523205
2010,BRA,35-39,7.283604259,-7.273196978
2010,BRA,40-44,6.917292865,-6.788319114
2010,BRA,45-49,6.426616403,-6.21017164
2010,BRA,50-54,5.444647412,-5.176303219
2010,BRA,55-59,4.515440458,-4.203460567
2010,BRA,60-64,3.495995175,-3.164610598
2010,BRA,65-69,2.597176203,-2.254184901
2010,BRA,70-74,2.088404887,-1.700017016
2010,BRA,75-79,1.410289493,-1.050430072
2010,BRA,80+,1.560080723,-0.958189093
2015,BRA,0-4,6.884748945,-7.431239412
2015,BRA,5-9,7.056793739,-7.584414263
2015,BRA,10-14,7.679437589,-8.23009481
2015,BRA,15-19,8.166371738,-8.718635576
2015,BRA,20-24,8.124539327,-8.581390981
2015,BRA,25-29,8.286245462,-8.618874521
2015,BRA,30-34,8.456488962,-8.661103856
2015,BRA,35-39,7.72183158,-7.792660014
2015,BRA,40-44,6.898588087,-6.838950804
2015,BRA,45-49,6.523674213,-6.341918869
2015,BRA,50-54,6.020994634,-5.742609424
2015,BRA,55-59,5.056491141,-4.710881202
2015,BRA,60-64,4.131643093,-3.74399861
2015,BRA,65-69,3.12810642,-2.718259012
2015,BRA,70-74,2.245216006,-1.836994467
2015,BRA,75-79,1.701111475,-1.284396885
2015,BRA,80+,1.917717591,-1.163577293
2018,BRA,0-4,6.722287862,-7.278735683
2018,BRA,5-9,6.717960946,-7.252919206
2018,BRA,10-14,7.094681519,-7.628489231
2018,BRA,15-19,7.723580386,-8.261042425
2018,BRA,20-24,7.971615849,-8.449870679
2018,BRA,25-29,7.944500075,-8.312381193
2018,BRA,30-34,8.181843634,-8.429911698
2018,BRA,35-39,8.016234639,-8.134496057
2018,BRA,40-44,7.140482767,-7.127067038
2018,BRA,45-49,6.492818593,-6.34952117
2018,BRA,50-54,6.132656197,-5.866780242
2018,BRA,55-59,5.429541388,-5.070888074
2018,BRA,60-64,4.439569096,-4.020480787
2018,BRA,65-69,3.488481751,-3.035228306
2018,BRA,70-74,2.506461704,-2.06085195
2018,BRA,75-79,1.765658495,-1.340905273
2018,BRA,80+,2.2316251,-1.380430988
2000,CHL,0-4,8.33216045,-8.927269078
2000,CHL,5-9,9.179779541,-9.824758733
2000,CHL,10-14,8.908000003,-9.520830559
2000,CHL,15-19,8.233497152,-8.771549112
2000,CHL,20-24,8.049501006,-8.49574698
2000,CHL,25-29,7.886482038,-8.214499816
2000,CHL,30-34,7.880990764,-8.090588905
2000,CHL,35-39,7.660493047,-7.743007738
2000,CHL,40-44,6.930743881,-6.890442909
2000,CHL,45-49,6.082739889,-5.936926392
2000,CHL,50-54,4.762063,-4.600654596
2000,CHL,55-59,3.933214313,-3.635280893
2000,CHL,60-64,3.333267045,-2.912204489
2000,CHL,65-69,2.952624296,-2.428404784
2000,CHL,70-74,2.550003624,-1.954369042
2000,CHL,75-79,1.641056762,-1.120285526
2000,CHL,80+,1.683383189,-0.933180448
2005,CHL,0-4,7.226614442,-7.744112522
2005,CHL,5-9,7.899681235,-8.457397611
2005,CHL,10-14,8.711765366,-9.316660126
2005,CHL,15-19,8.457003654,-9.022846648
2005,CHL,20-24,7.828572777,-8.304789413
2005,CHL,25-29,7.659834659,-8.037448786
2005,CHL,30-34,7.497957989,-7.761505738
2005,CHL,35-39,7.47585293,-7.623666075
2005,CHL,40-44,7.246906813,-7.272021726
2005,CHL,45-49,6.531260105,-6.435426903
2005,CHL,50-54,5.701535724,-5.497624916
2005,CHL,55-59,4.424929056,-4.197353343
2005,CHL,60-64,3.604146456,-3.237084596
2005,CHL,65-69,2.993842458,-2.50802631
2005,CHL,70-74,2.557130688,-1.967216615
2005,CHL,75-79,2.086245495,-1.457024002
2005,CHL,80+,2.096720154,-1.159794672
2010,CHL,0-4,6.931093655,-7.426615764
2010,CHL,5-9,6.886907091,-7.373156202
2010,CHL,10-14,7.522425057,-8.047063469
2010,CHL,15-19,8.295084086,-8.857364671
2010,CHL,20-24,8.087964614,-8.595080553
2010,CHL,25-29,7.521213359,-7.929152325
2010,CHL,30-34,7.349960129,-7.660711247
2010,CHL,35-39,7.163774172,-7.365320071
2010,CHL,40-44,7.107816833,-7.196605074
2010,CHL,45-49,6.85465286,-6.820315968
2010,CHL,50-54,6.142036321,-5.981421224
2010,CHL,55-59,5.317458944,-5.041168865
2010,CHL,60-64,4.076323087,-3.769441018
2010,CHL,65-69,3.259546733,-2.819851992
2010,CHL,70-74,2.622124671,-2.071084665
2010,CHL,75-79,2.125121025,-1.501559902
2010,CHL,80+,2.736497364,-1.54408699
2015,CHL,0-4,6.674713816,-7.148369664
2015,CHL,5-9,6.628640342,-7.090324258
2015,CHL,10-14,6.579816048,-7.033827786
2015,CHL,15-19,7.183483777,-7.669602478
2015,CHL,20-24,7.97758269,-8.479083755
2015,CHL,25-29,7.842935043,-8.28816932
2015,CHL,30-34,7.284551709,-7.639652677
2015,CHL,35-39,7.068146658,-7.326858719
2015,CHL,40-44,6.843237085,-6.989021798
2015,CHL,45-49,6.749161274,-6.776546671
2015,CHL,50-54,6.468292813,-6.362902496
2015,CHL,55-59,5.75212646,-5.51132869
2015,CHL,60-64,4.923834102,-4.560091805
2015,CHL,65-69,3.710229846,-3.315518723
2015,CHL,70-74,2.882222434,-2.366520441
2015,CHL,75-79,2.213915943,-1.619618307
2015,CHL,80+,3.217109961,-1.82256241
2018,CHL,0-4,6.213277899,-6.637888886
